host_id,h_gen,h_age,h_etn,host_since_year
301d2c7e913fb38467ffc05b2299aff3,Male,40+,White,2011
82f968c77d6aefabaf4917d21ef7f3d0,Female,30-39,White,2010
0b5383d3d9fc6c256c1ecaeac08d0543,Female,30-39,White,2011
fec734c33ff9452eb068b3129d646f73,Male,40+,White,2011
1ca3111d37b59deff921a24dfadb76c2,Male,30-39,White,2009
6558e9d872c08c7051ce7243cb485c92,Female,30-39,Others,2011
b7213625081f96f7fea747309ae21bd9,Male,40+,White,2010
438110cda75fe89082aac8dcf416ffd9,Female,40+,Black,2011
c0b1f415312c6432510ac53907136908,Male,40+,White,2011
6af26dccd7be7279c24d4a044e9c1f61,Male,40+,Others,2011
452df5efd64f3b4a17289164e5dc8a0e,Female,30-39,Others,2011
295564cbc65027cb443deae416c28886,Female,18-29,White,2011
b0834c71db7ed1690f45ee301651b760,Male,30-39,Others,2012
9f2bb9d00cc5897610c9ca57328f0676,Female,30-39,White,2011
9d69e9a462348fc33dc5fca9ed9c8784,Female,40+,White,2011
93416246f1de94e1b473753420f7a5f7,Male,30-39,Others,2011
a61e2ad2dab59c344cc705dde55e0f07,Female,18-29,White,2011
ecc3250e39f9733946c18e6db92fbd03,Female,40+,White,2011
613b53e897411c081a120ba28fb29020,Female,30-39,White,2011
f084226b5dd2b5222993b2a6146ba27b,Male,30-39,White,2009
f41ef9d7902187cdfc42d780ee2a7c63,Male,40+,White,2011
4c79aa90fda97a3964d3c941dbb575af,Male,30-39,Others,2011
21369833221fd4717a6eb17f976fa379,Female,40+,White,2010
f44761d1b9f8042564817af936ed3b24,Male,30-39,White,2009
59d866fbc42565b28191415420fe288a,Male,40+,White,2011
fc19ff4be6ad6466d1fd66bb5dff028b,Female,30-39,White,2010
4439b8727bef1c6970c39af58a7ff31c,Female,30-39,White,2011
bd1fba26dbdde843632d96a99aa18aa9,Male,40+,White,2011
4ac18c5eedbb1444d5334197f241bd97,Male,40+,White,2010
43a44a10741938d1f02f08557c95eca4,Male,18-29,Others,2011
ccc8434e9a1f2f114288554b91f65e68,Female,30-39,White,2011
77e82f60f47834d416eed63855a39df6,Male,30-39,White,2011
e9b497e6fd857b6ed5fda3d708f1e44f,Female,40+,White,2011
c7ffcf1225e434f497377c2429189e19,Female,40+,White,2010
40e5512c50aa2e2055106d009553c6b7,Male,30-39,White,2011
773fd421567309d85aca67a568aba3c3,Female,40+,Others,2011
f6ebf6952af3a88be159cad85714581a,Female,30-39,Asian,2011
fe7efb84b44a9cebde7c2ddea6a5339e,Female,30-39,White,2011
26ef4757d935eafbfc069a20f49b707a,Male,30-39,White,2011
9a4e7c6aa1440d14a2af2e53875a4979,Female,18-29,White,2011
25e15d75cac50e10f4c774403b230c12,Female,40+,White,2011
283abad0df564ff94d84a5c417e3fadd,Female,40+,Others,2011
9dcc2e68d9a3328011c821dc099500e0,Female,40+,White,2011
34990060f2f65601c29d8bfedfcffb15,Female,40+,White,2011
62fd983534632e6538558760ef199976,Female,18-29,Asian,2011
90b205074d310eb2d21a5f569f83fd23,Male,30-39,Others,2011
ec6c997399c6c7fafdb2c008ffef7879,Male,40+,White,2011
f4e93e157af3342e57bf56a6687a59d1,Male,40+,White,2011
79c14c0fb3261f52150bbd5b1a4d9964,Female,40+,White,2011
6312dac7de4b111e7c4e09ec1627c8a1,Female,30-39,White,2011
1adc0019d925e3d5218006041fd8acfd,Female,30-39,Others,2011
3d271508e85f9cb1ca9f1be1ecdc65a6,Female,30-39,Black,2011
fee5fb5f4987835f66d863e2e058aabf,Male,30-39,White,2011
6a7f0557379b75af0548839cae665371,Female,30-39,Others,2011
90b203c3d55b80a0867bf9624e681421,Female,18-29,Asian,2011
7862e6871f542d27d7675ee7741fbb0a,Male,40+,White,2011
83b4895d3473fe4eb86f1dfd60d95be5,Female,30-39,White,2011
cb28bbe06ba9954fc27d86ccd833bd70,Female,18-29,White,2011
396eb1ff9e81a7ab31566cb842e60a11,Female,40+,Black,2011
183474b346fbccd14ce16b09ae1ba3d7,Female,40+,Others,2011
4faf493f9047c16e926e4722c1546ff5,Male,40+,White,2011
57e8c8b5652abc2f422e1fbef0b9d1ae,Male,30-39,White,2011
68dd2f5b975582247d133b3b5d40b2fb,Female,30-39,White,2011
4547de7db096ee241da2393314ca3599,Female,40+,White,2011
4010f7d87b2d736353328816d4f59ca4,Female,18-29,Black,2011
84fb6b1ff5e585f56f966a0b67b41f38,Male,40+,Others,2011
c1e82f0e7a9ba822eba9ce647feaf62d,Female,40+,White,2011
a48e095621e1af560073a989070aea0c,Female,40+,White,2012
f87c4b6ad1d2d0ee65288e0d56263797,Male,30-39,White,2011
360432997c432275f944f4e42ba9cf12,Female,40+,Black,2011
1692c7cf1784652ef7c962e1b9ce8f29,Male,30-39,White,2011
a449ccea5e8cadaf841a7ff310412833,Female,30-39,White,2012
2aced193f3f63422a20b490de66790ff,Male,40+,White,2011
f82d57ffebe9a9a45c1f3e6a50b14226,Female,40+,White,2012
12c24234890483be87608e7800d66d7a,Male,30-39,White,2012
2ef835bed6c02434879c5cbb7fdf068f,Male,40+,White,2012
91e34d80b2d258aa00aa0085a678cdf7,Female,40+,White,2012
80158731ba067bc47808f3ef310c9d80,Female,40+,White,2011
cb5ea451305e6d611d73105e642f610d,Female,30-39,Others,2012
e0dff058952447bb0cc3a51e70d523ab,Female,40+,White,2012
63d1a7e05df061b0f0bd1efbfb7df755,Female,18-29,White,2011
1960625ffd98a0bafbe2de3b8506a036,Male,40+,Asian,2012
6d269ad34faec22e2859bfe8cd203774,Male,40+,Others,2011
6675d3487eddd5485de85461caf8122e,Male,40+,White,2012
4297379d77ad7a360b60853f521bc4e7,Female,40+,White,2012
505a2c7cd792631984342c99401ad90d,Female,18-29,Others,2012
f791f51bb44a45b23e2347b885c28ef3,Female,18-29,Others,2012
478c6f9a2bbbcae07a3febb15a10cc10,Female,30-39,White,2012
8fd5f9a14a16a1d41da4a073975b00b0,Female,30-39,White,2012
b8ca911f26eaada01537ae9cedd9006e,Male,40+,White,2011
6bd86bc3dc1ba767499c04318f38a656,Female,40+,White,2012
8a9531ae1a4eb84d9138130be1da6bc8,Female,40+,White,2012
beb637f508a5412c6c7f857a8ffbea7a,Female,40+,White,2012
e699054a7facb16aed8b5da7b7455c7d,Male,30-39,Black,2012
5bf87b22ebcf9ccf9498efbe71b78dc1,Female,30-39,White,2012
ac08715fbc78c650d2c98c901abd1711,Female,40+,White,2012
8e15ec40d1e7008057b86d24b9fd673d,Female,40+,White,2012
907c516e4834875e796ef41b7fa9bd37,Male,30-39,Others,2011
b8000a1ce04ab48258933b813965bcc5,Male,40+,White,2012
9ae5070626ea64f2e87b34147c373404,Female,18-29,White,2012
859f84c08234b303081d88947181fbea,Female,18-29,White,2012
e1ababb77bff96849320ea1eae4196e5,Female,40+,White,2012
ee8cbb18813a8e23de3f11df9382af82,Female,18-29,White,2012
a48972b9687a19ecd38889772ba23ab5,Male,30-39,White,2012
19bc85f9689b8f5df54eb2b90d003b62,Female,30-39,Asian,2012
df8f8e6a24f68a253acce9b24a0e029b,Male,30-39,Others,2012
07c79fb2b12dc71d4a063ef6fc875857,Male,30-39,White,2012
3843ad36b8fc5fd6e41131d986535a30,Female,40+,White,2012
320e7c4a7ccd72dde84fdd2c78c234b1,Male,30-39,White,2011
623ba9213c16bc77dc8aa0d83261450e,Female,30-39,White,2012
312c79b9cefab4bd6f18164a4f7d1d62,Female,30-39,White,2012
5d5bb06611e2f169b0cc3537335849fa,Female,40+,White,2012
5e25aff1cc188ea47b4d72609b8c2168,Female,18-29,White,2012
d55c6beecf17bb50f8de3675f93c374d,Female,40+,White,2012
8fc6dfd3f11c0e29f8bae2ef4504f826,Male,40+,White,2011
c1c1e0f2ad2cc48e0ba0b120ada52c9f,Female,30-39,White,2012
89d20999e2e1306789a69a1204ff0e45,Male,40+,White,2012
2c7fa243da628d35a599a9c78bdb59f9,Male,40+,White,2012
a2cabacabd37fa70f6d12e9686e60602,Female,40+,White,2012
8e0307ba6b16325d373c41e6a486f0f9,Female,40+,Asian,2012
8a701bdd7a9508b888d113b8d310d882,Male,40+,White,2012
45671289463b87c50b1fe350abb8bdda,Female,40+,Asian,2012
2907dc698f088c5d33769b95d953b7a9,Female,40+,Asian,2012
1d39e3b32b9d1c6c0e4903be21599185,Male,40+,White,2012
bba2c614febbd8dd03c7942680acbf5b,Female,40+,White,2012
cfce7feabbd2f210e2d6faa97da48702,Female,40+,White,2012
450c0a6c1510acedd4a8c3f4d618451f,Female,40+,White,2012
1bb5cdbb1ff0eaa46263049d65830783,Female,40+,White,2012
61d1a23e9bd9de6a6a4b71af6a8ada28,Female,40+,White,2012
7f04612748d01ed9d3d6ef922a818fc5,Female,40+,White,2012
b6b31d100ae48b6634c16706bd41ae23,Male,30-39,White,2012
56f057a8647b3d412f9b9064d4b720ac,Male,30-39,Asian,2012
618ca2ca224ca57006682ff2605fa389,Male,40+,White,2012
c9109faff506fa6052287444dd5b7fc4,Female,18-29,White,2012
528d16124d7d55dd5753b88930e9fd21,Female,40+,White,2012
0cce68eea805b8dc7143a643fbf9e313,Male,30-39,White,2012
493497bfb443b5b1454601b83cf1ca3d,Female,30-39,Black,2012
22c71f21555cfb534ad4a5394fc95588,Male,40+,White,2012
b550de0c1828256b593326a9dde08cea,Female,30-39,Black,2012
080f8405ef86d2476fed426d24ddc9cd,Female,30-39,Others,2012
032194432bbaeadac512a993923f86b0,Female,40+,White,2012
7da436a1e21a2388ef68f5bfe7afd682,Female,40+,White,2012
ea9fc775452bd8b144faab5cc700511d,Female,30-39,White,2012
5e0bbb6eb48f71b279283e8fbf28f475,Female,18-29,White,2012
ba336ffde9ece59d6ad81664b2603360,Female,40+,White,2012
b1963a2bc56070d7a579fa266900e987,Female,40+,Others,2012
a855364590d84b9942c0519388127562,Female,40+,Others,2012
002d220d335f51c68f8282277fc81a5d,Female,40+,White,2012
a32d9fe2a8343546f07c65e4a5d07796,Female,30-39,Black,2012
b08cd90bc297d22cfd58404480d65bd7,Male,30-39,Black,2012
0adcdd879374ad39664f516b71e3023c,Female,30-39,White,2012
d44dee219c3404123430bb53d41866ec,Female,40+,White,2012
2759c17ee2875182a22d41c29299052f,Female,40+,White,2012
496beb2ffcfc1d2211eed7945bb87d31,Male,40+,White,2012
3b7ab85387e6008d4be77f4865b102ec,Female,40+,White,2012
e2f4a75cca89ace4985a8f5d9c08eef4,Female,40+,White,2012
0e55a2791a36c27d1c6f833054767c12,Female,30-39,White,2010
e2466dcbd3315124f74546992a12b53f,Male,30-39,Others,2012
f9bd4c6373e6b17d2106486967d54f76,Male,30-39,Others,2012
5466b7fd3806a1921a2ea7384ecf3920,Male,40+,Others,2012
fb03465d879954aed119654b8f0947f6,Male,40+,Others,2011
ab9c8bc8d74b0894050fa42fab45b683,Female,40+,White,2012
9c225ac78edd2025ee3afc8aca74ea6b,Male,30-39,Asian,2012
0d7a1d564c24efa54e7112ced7dfed17,Female,40+,Others,2012
f96f26d09fae48a847943de234824ef6,Female,18-29,White,2012
4355c18437b9803fe0a12693c229211c,Female,18-29,White,2012
c6fdb0997a89f37f22690b929dc940df,Female,40+,Others,2011
0ed546b49d096fbcca6b5a433a5468ce,Male,30-39,Others,2012
9af5b0a94e28412255207a926b55133a,Male,40+,Others,2012
8737d4212e3bb7ae8387707cfa986868,Female,40+,Others,2012
e49e484fdf5fe01022c03a72329434c4,Female,30-39,White,2012
0c5ac52a2ca1ea651b7b6f8a8b1dfeb0,Male,40+,White,2012
cb80a917caaad882c746acbe90b34949,Female,18-29,Asian,2012
f57278d1db81ec9977deea24a27089a0,Male,30-39,Others,2012
efff747595828f78b46e0e76d52d4b48,Male,40+,Black,2012
0fc97178170ac98eb5ffb7d65315f2b3,Female,30-39,White,2011
1332514de2a2a24a711c9b5f71177bd9,Female,30-39,White,2012
42664a33da4ed08e083561f3a815d0d2,Female,40+,Others,2012
21b2d00355542302aff68b07e65cced9,Male,30-39,White,2012
e46e8bfb60c4ad2044c9fed19924f86e,Male,40+,White,2012
917eeb6daa79bdcfc0b428c481627a40,Male,40+,White,2011
6173be8863ce94327f5e80b63d82d9e9,Male,40+,White,2012
67e0ff6569033d49d63983baaecc9ead,Female,40+,White,2012
64f2610f001f032f8c0b0920c083e8ec,Female,40+,White,2012
e1ef3e8fa94ba5b10d14b19a24a1551a,Male,40+,White,2012
f2bb6cb7c0d5d03e82ce2d4e7aae57da,Male,40+,White,2012
a966f39c02612105899ffacef2447814,Male,30-39,Others,2012
569485486682c1c1bcf4ea4ee2c71fcd,Male,40+,White,2012
9adb0fe2e13280c6eb07cbd84b6d4907,Male,18-29,Others,2012
3774dbbe74c896840aaddff47227d642,Female,40+,White,2012
719d74ba40ec22560a66f245e61a0a67,Female,40+,White,2012
8de31b2091750ae5eb3c4619b6694a23,Male,30-39,White,2011
9bb2c30a616320480c8fdd21c64be6ce,Female,18-29,White,2012
d89d773e882b78e8c51b1a686c98a238,Female,40+,White,2012
83f3bbef117adb1291314b58344d752b,Female,40+,White,2012
6a5505787a4ba33988d6449a66998a43,Female,40+,White,2012
34556eaf0786c3bfb5a85b939c4f5bf7,Female,30-39,Others,2012
b4a690c8e5ab1c1888f77a80047435fb,Female,30-39,White,2012
f57927760a9fa6af56507a95052913d4,Female,40+,White,2012
ad97f30f42ac81e8b5e7dd83e7afe999,Female,18-29,White,2012
a1e03e6dcd940056d3ddbee0c00f252c,Female,40+,White,2011
dc34f98c915c37e5490360dd65c3b779,Male,40+,White,2012
b5f35186a074c33dc13a9b77bb0d8c46,Male,40+,White,2012
e7ecc1e1d0d317d33adee6ab1d1e5fb8,Female,30-39,White,2012
7c0807e5420890bc5c5a4deada125c45,Male,40+,White,2011
65f753f92f8a5742e2c70695571f63d9,Female,18-29,Others,2012
5b5dfee650008478dbe67b40b362522a,Female,30-39,Black,2012
51e8fb174ca692e4646f4f05270a1767,Female,18-29,White,2012
9424eaa54fb98af8145beb3a97c129e5,Female,40+,White,2012
cad802bdb89757714c838b4c5df87a10,Female,40+,White,2012
d8c57a0ab446ea323e8634d5fda5fe8b,Female,40+,White,2012
f47cb5db30cb6f9cecab08508c7a616a,Female,40+,White,2012
4ac90b568d0d14fb618fe3a14d1bfff9,Female,40+,White,2012
63aa99b25136b02025b9868b0d7a5e82,Female,18-29,Black,2012
e6c53a2821d99932f397b2b6d2da5f16,Female,18-29,White,2012
a7998f7da1e5b04a11308b7b7fb079f9,Female,40+,White,2012
152206123637b35b8577b5b5073e0627,Female,30-39,Others,2011
e18d610b68c4b8a3bd95e789ca99819c,Male,40+,White,2012
45cfe937d1ca1f4bbe9846d4e34ee71d,Male,40+,White,2012
651369cd49736445f10d640e3398e8d0,Female,30-39,White,2011
0208cbd987744aa20187121e5a36f8e3,Female,30-39,White,2012
a8f8893e28f04e8f24b519ded158ad23,Female,30-39,White,2012
bc34b5f852167ec6924211ac07cce9fb,Female,40+,White,2012
7ac56d114ab6a3b602e90f1fbacbd9a3,Female,18-29,White,2012
9e27e111a79304b32199097606b41cfd,Male,30-39,Others,2012
4be973a0532b1f4859e9c825baa2d45d,Female,30-39,White,2011
ecd3ebab17306273412dc855be146159,Male,40+,Others,2012
58573fd76f84175d0a9a601ed30246c1,Female,30-39,Black,2012
e82e51ecad4d5f51fb10261fce2b79cd,Female,40+,White,2012
cbd0aa3edd82143541c8d114bb0ceb7f,Male,30-39,Others,2012
f7ee42655a64b527752eebcc8a36ae48,Female,30-39,Black,2012
402ebf85deacb17e638d43905ec8f77a,Male,30-39,Others,2012
923351038de6d7f387435964848293d6,Female,30-39,White,2012
6f1cf32cccf6f5ca18ec1ba662552122,Female,30-39,Others,2012
3cea40a20bbfc8bc39c1d95de4cac559,Female,40+,Asian,2012
12d4bde5a1ab24d3498a512cad79cd37,Male,40+,White,2012
49c09f131e6348d418bf6da4a996471b,Female,18-29,White,2012
2e4a7d653605bc44fc88d121b590f49c,Male,30-39,Others,2012
f3567b9c1d2382165c5549606c11a404,Female,40+,White,2012
ded8365a3996271152caecb7c76e3cff,Female,30-39,White,2012
9e3cdf1e35237a8a2e0b4c2bf21add96,Male,30-39,White,2012
14d87698c1371943b6cd76704c281789,Female,30-39,White,2012
2ea0ef2ccf5c6db5d0c50ab2abc244ef,Female,40+,White,2011
443a2b3b3af00abde1d3f3dc6a1a91d0,Male,40+,White,2012
34f4e3969eb4d2a42308232c8caa118f,Male,40+,White,2011
8b6cfbb4f63afde1418999e04693481f,Female,30-39,White,2012
575b1c34d23f7abf29e704da0aff90fe,Female,30-39,White,2012
82192b3879a71d0dbf41f9cb92b3944e,Male,30-39,White,2012
9a0a4c28cffb30ce0c89e267ed6b77d9,Female,40+,White,2012
5c0c98b28d7a741284e9ce1f96e942aa,Female,40+,White,2011
ac763a139ea677f922d0ed22035f745a,Female,40+,White,2012
b4e4a3cd10ede61945c8d67ab3862947,Female,18-29,White,2012
63033594c1c89c612f1aa54efea78d7a,Female,30-39,Asian,2012
85995db8c794a75d4b22341f78686aef,Female,30-39,White,2012
41962a141f65c9e49cb324de231fe5f9,Female,40+,White,2012
5978028029ac195de38b132022d50a56,Male,40+,White,2012
6fd9c57156877b179f5f8f4e893e4416,Female,18-29,Black,2012
954cf4b3d541912a579a9b58def8c00c,Female,30-39,White,2012
7bf3672d09f071b942a6050f216b1642,Female,40+,White,2010
33e23c5d811c14916f3f8ab72d93a73e,Female,18-29,White,2012
3f70dc3e7f7cba0f02828490744ff707,Female,40+,White,2012
43c8f922df5159e5b94bbbbc658b6183,Female,30-39,White,2012
f7299e705b38a7e6e1ac6aa9d96848fa,Female,40+,White,2012
9bb870cfd92d25ac56f6891672975867,Female,30-39,White,2012
fa377edf8bc2c90886c770e4509a57a1,Female,30-39,White,2012
779937c4897805eca64a28b451f358c4,Female,30-39,White,2012
2ab43cc52b4cbdc33c8a7550f3f1be8f,Female,30-39,White,2012
518978c9e8eb9f0c2351e204c1fc1b6c,Female,30-39,White,2012
b8b1a7900a9dd211bb5a42c9018903d6,Male,30-39,White,2012
59a9041445581f20571974165ca63af6,Female,30-39,Black,2012
c87112c10b163ba0d6f17d24148b4b9b,Male,40+,Others,2012
7305ed23990498384de10dc7c80c78f1,Male,18-29,White,2012
7bbc3f013598c9dc20cf9f9d95ee540a,Female,30-39,White,2012
fd4e9ced7b88f0adee0cc4ee9aabe0f0,Female,30-39,White,2012
bd9bfe9c7098ddb8ff8b5b80950d6eac,Female,30-39,White,2012
b13d38dc5ed5d5929d727665d97f6c38,Male,18-29,White,2012
c701118cb0371a49e739d9d53c26362f,Male,40+,Others,2012
38482f9a686b0947684aeff465693c79,Female,18-29,Others,2012
f68c6ad2dbf06c35fed871b8f18562c4,Female,40+,Others,2011
4097035d8b113841856b92322f5a89be,Female,40+,Others,2011
84badaba479433d424c8214a2d53abe8,Female,40+,White,2012
a635370974b91b2b8b7787ff44474756,Female,30-39,White,2012
a27ae033464144d469d27d8062c92748,Female,40+,White,2012
ea298ba7ff303351074d67ed05947ad1,Female,30-39,White,2012
088260b60f6d4fc6ec38b6665b3ef16e,Male,40+,Others,2011
97ca7162641527f4bba19133417dd22f,Male,30-39,Others,2011
6dd66136ba0e11a3184452f2f0af0c71,Female,40+,White,2012
03aab32b71a1fd26f50639cb1e211887,Female,40+,Asian,2012
f237e9f9602044f83b158d523159a100,Male,40+,White,2012
dc1d5222abf1d50c3869b880e7acae0f,Male,40+,Black,2010
8c30671a1a52be672f20638d671dead3,Male,30-39,Asian,2012
5e06eb06750c1e43780da5c46c431aeb,Male,40+,White,2012
3a5455373a7a0aa7a57fc9696b15361e,Female,18-29,Others,2012
b65222242e9267ceb8d3aeee96525da1,Female,18-29,White,2012
3c368df78ac9c894f6ac43d001cb8cec,Male,30-39,Others,2012
74f90b0f05efed1a8b9adbc60b709797,Female,30-39,White,2012
b27cf2209ad1e2af28c016b9c0ce2d35,Female,30-39,White,2012
c6f548c3ab58b7654647cd4138ea5291,Male,40+,White,2012
8187562b6f67d6508bb5d136d3d61353,Male,30-39,White,2012
c10dd562f2b43c4d4ec70d5666206240,Male,40+,White,2012
e553074f558530a30b45d973e31eb144,Female,40+,White,2012
9897c7f6f342307d820b56b77b907438,Female,30-39,Asian,2012
1d97d80a0bb2ae23d019cff96e219c43,Female,30-39,Asian,2012
857e2f15508c4576afa5604c8568861c,Male,40+,White,2012
0cc4c4930addb8bd97433b70c4109322,Female,18-29,Others,2012
ebd3866e98b3e73fc9feb6e99b7c64fa,Male,30-39,Others,2012
1fb2c0a4e914514ded9923e5fad2c186,Male,18-29,White,2012
e48bd1de896633c92cdc78a3962b7ccb,Male,40+,Others,2012
116b723501a2b9e0ab5279fd63014415,Male,30-39,White,2012
3d71c69b5b9599eea3ff9c6e6622e121,Female,40+,White,2012
2a03ed4eb897057b67d8fc3aaa259dad,Female,18-29,White,2012
898f2a31f7e2a033450ca6ba8c78c722,Female,30-39,White,2012
eda23c8833ec3cd22bcc18b68bbc28a8,Male,30-39,Others,2012
bf7b767379149c3eba33bc3a7681e7b0,Male,30-39,Others,2012
3581017aff1bcc31261a49e379fcc9d9,Female,40+,White,2011
87758982729c88f15723746199eda4dd,Female,30-39,Others,2012
0197a5652e43ac6c0da2a949dda24e56,Female,30-39,White,2012
cc106b8438c5ef7771944bc82bfb72c1,Female,18-29,Others,2012
b12cf64acd1d61d165bdf4970686d1f2,Male,18-29,White,2012
6e0d717b70376710e7ad03bcb401f741,Female,40+,White,2012
43fda005ef87bcd46f68e91c7808687b,Male,30-39,Asian,2012
38b59439ae57dd21e293bb498b850712,Female,40+,White,2012
77e397bd350f498044d308f7f3993a07,Male,40+,White,2012
5b356024ab9db69e39532ee9221bc9c7,Male,40+,White,2012
b69f0b5fc8ee38a8b93b7eab11568f7b,Female,40+,White,2012
83db98d1c88f5af3c90c1a51907ee61f,Female,40+,White,2012
b9546262533bcb63051c8964c7b05be0,Male,30-39,White,2012
e8b8ee0e85936215ce40b0a2f42bc512,Male,18-29,White,2012
50837547364a47a89a6245c8069bdcc9,Male,40+,White,2012
d12701511392d3ee03f8e78f111873b6,Female,18-29,Asian,2011
68fc3f36e0464c52fe86b89067fee0dd,Male,30-39,White,2012
d768880b5b3e609ccbbc2420cccd4328,Female,30-39,Others,2012
5591c19f15c4ca71047bcdd942cb56ba,Female,40+,White,2012
094e898f52ae2feadd595fb16c07b524,Male,40+,Others,2012
0b6179397883728d51ba1bb81bf8ac7b,Female,40+,White,2012
615486d99bb14f33f25693d6db62d33b,Female,30-39,Others,2012
cf2c0b16716406cac64d09b6e85d2ff3,Female,30-39,White,2012
6f3386001f69b78037d3625502e69cc6,Female,30-39,Others,2012
39e6ab145baf6d57992387a2a4e731d6,Male,40+,White,2012
c30beae3a962f88efd32bca7732df6e4,Male,30-39,Others,2012
f00a54be684838c9c60075dc87249c5f,Female,18-29,White,2012
0e7fd0ce9408d679ffa9c73ca44ab806,Female,40+,Others,2012
dd5b02b1f2df5553332d534e846eaa81,Female,30-39,Others,2012
27d0b2e225955fab05a8f9f941010a42,Female,30-39,Others,2012
71091d5b56a47a97720a8f18a7ea2f10,Female,40+,White,2012
d6bfc4c4a0e2efcdc5c70125e0bde2cf,Female,30-39,White,2011
4a9da0a76f578f1540160d008ba0c457,Male,40+,White,2012
20f5a4a8b4a1a8602ac09947074d6ec0,Female,18-29,White,2012
8c0729d5186f78b08ad39fd6c4b18ac9,Male,40+,White,2012
98e0675a31da8e90d2189514eb8237ed,Female,30-39,Others,2011
38c6b1b320286039f16722b3c3f46df3,Female,30-39,White,2012
67b3fbb53a40710bc9d4d4f983089cee,Female,30-39,White,2012
c06cdf10d6e3639fa2a868849558fd19,Female,30-39,White,2012
cdc6776811b0116993063ec5a3463579,Female,40+,White,2012
eef2fe06286ef4610fbf4e12a3ae71c7,Female,40+,Others,2012
ccefb9d7232919f3c35345557a8c0a2d,Male,40+,White,2012
1a41f1728458f79be16c9989dd7aed01,Female,40+,White,2012
d9fb102739d764903a9acee2d7d1efb8,Female,40+,White,2012
d646f27a2ab1fc5a085cceed45ca8282,Female,40+,White,2012
f616d2cf3c802dc52aabfa4a0702da3b,Male,30-39,Others,2012
da731203fb44809ed8a94a155fe63457,Male,40+,White,2012
